German,English
taten ,do
lord ,lord
dringend ,urgently
commander ,commander
großvater ,grandfather
sommer ,summer
gezeigt ,shown
hinterlassen ,leave behind
gewissen ,conscience
getrunken ,drunk
wahre ,real
luke ,hatch
kunden ,Customers
kate ,kate
zeugen ,witness
geplant ,planned
amanda ,amanda
erreicht ,achieved
stören ,disturb
stein ,stone
atmen ,breathe
hose ,trousers
weiße ,white
sprichst ,speak
größer ,greater
schickt ,send
city ,City
prinz ,prince
behandelt ,treated
tote ,dead
überlegen ,think
karten ,cards
it ,it
d ,D
restaurant ,restaurant
welchem ,which
roger ,Roger
natur ,nature
carter ,carter
emily ,Emily
mami ,mum
verschwindet ,disappears
lautet ,is
streit ,argument
küssen ,kiss
sprich ,speak
längst ,a long time ago
fängt ,catches
drüber ,over
gingen ,worn
erlaubt ,permitted
einzigen ,single
bad ,bath
schmeckt ,tastes
kugel ,Bullet
normalerweise ,normally
schwarzen ,black
rauf ,up
flug ,flight
beruhigen ,calm
walter ,Walter
halbe ,half
dan ,Dan
geschieht ,happening
einiges ,a lot
entdeckt ,discovered
morgens ,In the morning
schlechter ,worse
vollkommen ,completely
gelogen ,lie
verfolgt ,tracked
college ,college
weiteren ,others
chris ,Chris
louis ,Louis
eh ,anyway
schwert ,sword
hunde ,dogs
steigen ,rise
verdammter ,damn
dürfte ,might
riecht ,smell
labor ,laboratory
bat ,bat
tim ,Tim
arthur ,Arthur
mindestens ,at least
fisch ,fish
eurem ,your
füße ,feet
stehst ,stand
erschießen ,shoot
kuchen ,cake
versuchte ,tried
zustand ,State
wunsch ,wish
gäste ,Guests
erwähnt ,mentioned
farbe ,colour
van ,van
einigen ,agree
zufall ,conicidence
garten ,garden
junger ,younger
autos ,cars
abgesehen ,apart
fair ,fair
vertraut ,trusted
koffer ,suitcase
hieß ,was called
kurs ,course
wirkt ,act
idioten ,idiot
netter ,cute
seitdem ,since
angegriffen ,attacked
geschichten ,stories
wahnsinnig ,insane
ähnlich ,similar
lily ,lily
aufgeben ,to give up
england ,England
entführt ,abducted
ms. ,MS.
mistkerl ,Mistker
solchen ,such
ner ,ner
geschossen ,shot
lager ,camp
besprechen ,discuss
reihe ,line
polizisten ,police officers
vogel ,bird
legt ,lay
strand ,Beach
amerikaner ,American
schwarz ,black
fern ,remote
fick ,fuck
scherz ,hoax
san ,san
erzählte ,told
wichser ,wanker
jake ,jake
langweilig ,boring
womit ,by which
geschäfte ,businesses
my ,my
kapiert ,Got it
nachher ,later
verlangt ,demands
schlägt ,beat
überzeugt ,convinced
irgendjemand ,anyone
rot ,Red
soldat ,soldier
vorbereitet ,prepared
geschah ,happen
reisen ,travel
termin ,meeting
gang ,corridor
stehlen ,steal
rechte ,right
rache ,revenge
bemerkt ,noticed
frankreich ,France
stört ,disturbs
radio ,radio
beruhige ,calm down
pferde ,horses
vertrag ,contract
arbeitest ,work
dienst ,service
zählt ,count
fragst ,ask
wesen ,beings
bürgermeister ,Mayor
emma ,emma
fluss ,flow
woran ,what
geblieben ,remained
durcheinander ,mixed up
me ,Me
ted ,ted
nette ,cute
test ,test
mister ,mister
dadurch ,through this
direktor ,director
wichtiger ,more important
kevin ,Kevin
scott ,scott
karriere ,Career
akte ,file
erinnerung ,reminder
großmutter ,grandmother
erzähle ,tell
lösen ,to solve
bravo ,Bravo
griff ,handle
verfolgen ,follow
zweifel ,doubt
such ,search
sprache ,language
nerven ,annoy
officer ,officer
andy ,Andy
langer ,longer
ziehe ,pull
entlassen ,dismiss
zweimal ,twice
abholen ,pick up
washington ,Washington
kollegen ,colleagues
doc ,Doc
fass ,barrel
szene ,scene
robin ,robin
scheinen ,seem
bösen ,evil
schaffe ,man
pflicht ,duty
wache ,guard
neulich ,recently
beeilen ,hurry
knie ,knee
alice ,Alice
lauter ,volume up
spannende ,exciting
unschuldig ,innocent
folgt ,follow
schutz ,protection
weshalb ,why
geheiratet ,got married
woanders ,somewhere else
wurdest ,wedding
kuss ,kiss
verhindern ,impede
erklärung ,Explanation
video ,Video
rom ,Rome
klug ,Smart
kräfte ,forces
verlangen ,demand
außerhalb ,outside of
opa ,Grandpa
selbstverständlich ,Of course
aufstehen ,stand up
hassen ,to hate
pete ,pete
gebrauchen ,use
geglaubt ,believed
milch ,milk
trink ,drinking
gefeuert ,fed
erinnerungen ,memories
müssten ,be
suchst ,search for
fährst ,ferry
kochen ,Cook
schwach ,weak
schreibt ,writing
schulden ,debts
hinein ,inside
simon ,Simon
grenze ,border
braut ,bride
gebraucht ,second hand
peinlich ,awkward
klappt ,works
geheimnisse ,secrets
joey ,joey
aufmerksamkeit ,attention
form ,shape
umsonst ,for free
kennenzulernen ,get to know
überlebt ,survive
nirgendwo ,nowhere
meilen ,miles
einfacher ,easier
blöde ,stupid
mond ,moon
ergibt ,giving
daten ,data
merken ,notice
schande ,shame
fuck ,fuck
fühlte ,felt
jenny ,Jenny
sieg ,victory
satt ,Fed up
blödsinn ,nonsense
adam ,Adam
lisa ,Lisa
pfund ,lb
handeln ,Act
lois ,lis
enden ,end up
warm ,warm
raten ,guess
übersetzung ,translation
kunst ,Arts
kapitän ,captain
desto ,the
einsatz ,mission
schweigen ,be silent
krankheit ,illness
toller ,great
schatten ,the shade
wachen ,watch
tatsache ,fact
eric ,Eric
stock ,floor
chief ,chief
hingehen ,go
verboten ,forbidden
gäbe ,be
anzug ,men's suit
leichen ,corpses
high ,high
beendet ,completed
freitag ,Friday
million ,million
verflucht ,cursed
dunkel ,dark
geb ,boom
enttäuscht ,disappointed
klopfen ,beat
spuren ,traces
dreck ,dirt
seiten ,pages
mühe ,effort
gezogen ,drawn
brian ,Brian
kontrollieren ,check
knochen ,bone
schick ,fancy
getrennt ,separated
programm ,program
grab ,dig
ebenso ,as well
trage ,sluggish
nachbarn ,neighbors
bieten ,Offer
bestes ,best
elizabeth ,Elizabeth
fuhr ,drove
verlässt ,leaves
freundlich ,friendly
dennoch ,yet
rauchen ,smoking
dick ,thick
stuhl ,chair
dreh ,turn
bester ,best
schicke ,chic
vergeben ,forgive
ausgehen ,go out
behandeln ,treat
trotz ,despite
gast ,guest
ändert ,change
passierte ,passed
toilette ,Toilet
annehmen ,accept
herzlichen ,cordial
hexe ,witch
erwachsen ,adult
jerry ,jerry
pistole ,pistol
saß ,sat
dreht ,turn
aussage ,expression
liebte ,loved
street ,Street
genießen ,enjoy
eifersüchtig ,jealous
derjenige ,the one
teuer ,expensive
leo ,leo
zähne ,teeth
beobachtet ,observed
gentlemen ,gentlemen
wählen ,Select
helft ,help
fliegt ,flies
theater ,theatre
regen ,rain
feinde ,enemies
william ,William
erlauben ,allow
zulassen ,allow
schnappen ,snap
komplett ,completely
panik ,panic
flughafen ,airport
bewusst ,consciously
deutschen ,German
voraus ,in advance
sterbe ,dying
solltet ,supposed
begleiten ,accompany
einander ,one another
fred ,fred
erlebt ,experienced
weiterhin ,Farther
stärker ,stronger
fahrer ,driver
konzentrieren ,focus
streiten ,fight
angeht ,in terms of
selben ,the same
star ,star
überzeugen ,to convince
alkohol ,alcohol
übersetzt ,translated
verrückte ,crazy
lch ,loll
king ,king
begann ,started
angenommen ,accepted
weitermachen ,keep going
echter ,true
jackson ,Jackson
post ,post
mitgenommen ,took
botschaft ,message
ideen ,ideas
fehlen ,miss
aufgeregt ,excited
selbstmord ,Suicide
dumme ,stupid
zurückkommen ,Come back
irgendein ,any
magie ,magic
phil ,phil
schlage ,strike
handelt ,act
treffe ,meet
untersuchen ,investigate
flucht ,escape
verliert ,losing
irgendeine ,any
gegenteil ,opposite
betrifft ,regards
scharf ,spicy
gehofft ,hoped
kennengelernt ,knowledgeable
schlimmste ,worst
projekt ,Project
trottel ,Fool
immerhin ,anyway
mehrere ,several
erwarte ,expect
mochte ,would like to
schwimmen ,swim
zählen ,counting
innerhalb ,within
matt ,frosted
blind ,blind
schwestern ,sister
code ,code
alan ,alan
schlau ,clever
absicht ,intention
barry ,barry
spielst ,play
zuletzt ,last
oliver ,oliver
art. ,Art.
englisch ,English
ohr ,ear
verletzen ,hurt
song ,song
schüler ,pupils
schien ,shave
gewinnt ,wins
älter ,older
merkwürdig ,unusual
judy ,Judy
vermisse ,miss
größe ,size
tritt ,joined
trauen ,trust
präsidenten ,president
trick ,trick
harvey ,Harvey
doug ,Doug
roten ,redden
überlegt ,considered
größten ,biggest
sonntag ,Sunday
zwölf ,twelve
vorstellung ,performance
schrieb ,wrote
reinkommen ,come in
killer ,killer
unterstützung ,support
antun ,antun
rechnung ,invoice
dieselbe ,the same
verändern ,change
möglicherweise ,possibly
definitiv ,definitive
locker ,relaxed
ed ,ED
vincent ,vincent
ums ,over
abends ,in the evening
frisch ,fresh
kohle ,money
fing ,fingering
hure ,whore
cousin ,cousin
familien ,Familys
einsam ,lonely
lebendig ,lively
heiligen ,saint
knapp ,meager
ebenfalls ,Likewise
überprüft ,checked
artikel ,items
gesetzt ,set
jederzeit ,at any time
kompliziert ,complicated
spüren ,sense
signal ,signal
amy ,amy
stich ,Sting
kino ,movie theater
probieren ,try
tode ,Deaths
wundervoll ,wonderful
tanz ,dance
geöffnet ,opened
kerle ,guys
begraben ,to bury
prozent ,percent
stoppen ,to stop
hoheit ,highness
riesen ,Giants
rote ,Red
zugang ,access
liest ,read
vorn ,front
wichtige ,important
aufmachen ,open up
kelly ,Kelly
sexy ,sexy
erlaubnis ,permission
grace ,grace
big ,big
story ,story
madam ,madam
leichter ,easier
halben ,half
filme ,movie
priester ,priest
herauszufinden ,find out
packen ,pack
dritte ,third
inzwischen ,in the meantime
larry ,Larry
presse ,Press
sitze ,seats
machten ,put
geklaut ,Stolen
helden ,hero
susan ,Susan
geduld ,patience
bühne ,stage
reparieren ,repair
hä ,ha
usa ,United States
gerechtigkeit ,Justice
fälle ,cases
selten ,Rare
anrufe ,Calls
unterschreiben ,sign
julia ,julia
drücken ,to press
mrs ,MRS
lügner ,liar
endet ,end
dave ,Dave
medizin ,medicine
schreibe ,write
verhaften ,to arrest
prozess ,process
samstag ,Saturday
amen ,Amen
motor ,engine
marie ,Marie
abhauen ,depart
chaos ,chaos
schönheit ,beauty
beinahe ,nearly
lebst ,lively
tolles ,great
anhalten ,stop
fremden ,strange
hof ,court
akzeptieren ,accept
norden ,north
ärzte ,doctors
anziehen ,attract
dingen ,things; matters
umgehen ,bypass
bauch ,belly
gesamte ,entire
hübsche ,pretty
ertragen ,endure
kiste ,box
brennt ,burning
teile ,portion
deckung ,cover
landen ,land
berg ,Mountain
straßen ,streets
aufgenommen ,recorded
gerufen ,proclaimed
untersuchung ,investigation
alarm ,alarm
blieb ,remained
vertraue ,trust
extra ,extra
entspann ,relax
beobachten ,watch
eindruck ,impression
tschüs ,Bye
babys ,Babies
wehtun ,hurt
zog ,pulled
iss ,set
herrgott ,herrgott
echten ,true
springen ,leap
nackt ,naked
existiert ,exists
befreien ,to free
gerät ,device
montag ,Monday
gezwungen ,forced
perfekte ,perfect
erzählst ,tell
bastard ,bastard
interessieren ,interest
schlechten ,bad
hank ,Hank
steigt ,increases
st. ,St.
on ,on
carl ,Carl
gekriegt ,criminal
fliehen ,escape
trug ,wore
freundschaft ,Friendship
rate ,rate
papiere ,papers
abgeschlossen ,closed
schnauze ,snout
beruf ,job
gebiet ,area
jeff ,jeff
jedoch ,However
beten ,pray
verbunden ,tied together
sprachen ,languages
verräter ,traitor
wichtigste ,most important
prost ,cheers
brust ,chest
aufgehört ,stopped
kleider ,dresses
jacke ,jacket
bestellt ,ordered
herkommen ,come here
wild ,wild
nenne ,call
angesehen ,regarded
zuhören ,to listen
trennen ,separate
schlafzimmer ,bedroom
vorschlag ,proposal
meins ,mine
gift ,poison
ton ,volume
vermissen ,miss
angekommen ,arrived
beantworten ,respond
deutlich ,clear
träumen ,dream
verwirrt ,confused
akten ,file
riskieren ,take risk
b ,b
victor ,victor
find ,find
erkannt ,detected
beerdigung ,funeral
müll ,rubbish
weisst ,knows
möge ,may
stellte ,set
mitte ,center
erleben ,experience
geburt ,birth
decke ,ceiling
chffff ,Chffff
wege ,ways
schritte ,steps
gibts ,be
gemeldet ,reported
hilfst ,help
mittagessen ,Having lunch
weint ,crying
vernichten ,destroy
rock ,skirt
chicago ,Chicago
ellen ,ellen
crew ,crew
roy ,roy
türen ,doors
gewehr ,gun
elena ,Elena
arbeitete ,worked
spiegel ,mirrors
hauen ,hit
geraten ,devices
dritten ,third party
ross ,Horse
julie ,Julie
wetter ,weather
schwul ,humid
regel ,rule
befindet ,located
einheit ,unit
german ,german
armer ,poor
gucken ,look at
anstatt ,instead of
champagner ,champagne
gründe ,reasons
strafe ,penalty
smith ,smith
öfter ,more often
anne ,Anne
zelle ,cell
langen ,long
altes ,old one
ruiniert ,ruined
jonathan ,Jonathan
kleidung ,clothing
gras ,grass
kenn ,knowing
agenten ,agent
herausgefunden ,found out
annie ,Annie
rechten ,right
brot ,bread
berlin ,Berlin
erfreut ,pleased
lügt ,lying
nehm ,tug
harte ,hardness
staaten ,states
station ,station
gaben ,gifts
hinterher ,after
verpassen ,miss
geholt ,broken
jesse ,Jesse
hemd ,shirt
trinke ,drink
klären ,clear up
praktisch ,practically
theorie ,theory
zunge ,tongue
notfall ,emergency
besseren ,better
winter ,winter
c ,C
versuchst ,trial
dahinter ,behind
schwere ,severity
feuern ,to fire
lucy ,lucy
schießt ,shoot
anführer ,leader
schief ,crooked
blau ,blue
bestens ,best
wartest ,wait
gehts ,go
morgan ,morgan
unrecht ,injustice
leck ,leak
wonach ,after that
entwickelt ,developed
bedeutung ,meaning
strom ,current
krebs ,cancer
gemein ,mean
wessen ,know
minister ,minister
lhnen ,hide
quelle ,source
zahl ,number
schiffe ,Ships
schüsse ,shot
bricht ,break
talent ,talent
spitze ,top
fernseher ,TV
treiben ,to drive
ausgezeichnet ,excellent
tatort ,crime scene
möglichkeiten ,options
trinkt ,drinking
esse ,eat
cop ,Cop
details ,details
täter ,perpetrator
wahren ,true
dieb ,Thief
offiziell ,officially
dienen ,to serve
westen ,west
entscheidungen ,decisions
dauernd ,constantly
geschmack ,taste
gegenseitig ,each other
gewählt ,chosen
charlotte ,Charlotte
pech ,bad luck
verteidigen ,defend
schauspieler ,actor
personen ,persons
überlassen ,leave up
publikum ,audience
trägst ,wear
wechseln ,switch
begegnet ,encountered
betrogen ,cheated
besucht ,visited
vertrau ,trust
europa ,Europe
carrie ,Carrie
patrick ,Patrick
deutschland ,Germany
süßer ,cutie pie
loswerden ,Get rid of
melde ,report
maggie ,maggie
bestätigt ,confirmed
gas ,gas
sturm ,storm
setze ,put
briefe ,letters
null ,zero
penny ,penny
schlafe ,sleep
wirken ,works
geführt ,guided
starten ,start
götter ,gods
festhalten ,hold tight
geheim ,secret
übergeben ,to hand over
cia ,cia
abteilung ,Department
papier ,paper
wetten ,bet
gefolgt ,followed
verschiedene ,different
gleichzeitig ,simultaneously
genie ,genius
hungrig ,hungry
inspektor ,inspector
zwingen ,to force
atmet ,breath
kuh ,cow
unterstützen ,support
geworfen ,thrown
verlor ,lose
süden ,south
pater ,father
menschheit ,mankind
versteck ,hiding
tötete ,kill
fähigkeiten ,Skills
beruhigt ,calmed down
rechtzeitig ,in time
streng ,strict
sendung ,broadcast
gelebt ,lived
treppe ,stairway
kim ,kim
richtiger ,proper
aufnehmen ,take up
wolf ,wolf
pa ,pa
öffnet ,opens
dämon ,demon
wut ,fury
schlange ,line
medikamente ,drug
geschenkt ,gift
nenn ,rated
gelegt ,placed
anfassen ,touch
pizza ,Pizza
schlechtes ,bad
hütte ,hut
mantel ,a coat
behauptet ,assert
kilometer ,kilometre
beeilung ,hurry
angeblich ,allegedly
reiten ,ride
helen ,Helen
mittag ,midday
gewarnt ,warned
wohne ,live
las ,read
dunkelheit ,Darkness
spazieren ,to stroll
angel ,fishing rod
hiermit ,herewith
schließt ,closing
phoebe ,Phoebe
vieles ,many
erfüllt ,Fulfills
tausend ,thousand
sack ,bag
eindeutig ,clearly
unterhaltung ,entertainment
gründen ,establish
km ,km
zugeben ,admit
mittel ,middle
explosion ,explosion
gefangenen ,prisoner
taylor ,Taylor
frische ,fresh
verdächtigen ,suspect
neugierig ,curious
leitung ,management
kennenlernen ,to get to know
fliege ,Fly
lebte ,lived
menschliche ,human
anderem ,other
auseinander ,apart
fressen ,Wolf down
beides ,both
ficken ,fuck
stoff ,material
spüre ,feel
eilig ,in a hurry
stammt ,dear
vorgestellt ,presented
linda ,Linda
welch ,what a
wichtiges ,important
no ,no
gehörte ,belonging
mhm ,mhm
glaubte ,believed
oberst ,colonel
schrank ,cabinet
fremde ,stranger
gnade ,grace
chloe ,chloe
yo ,yo
entspannen ,relax
virus ,virus
schläfst ,sleep
einladung ,invitation
krieger ,warrior
vernünftig ,reasonable
fein ,fine
greifen ,to grab
whoa ,whoa
kyle ,kyle
schickte ,faded
per ,by
mitglied ,member
einziger ,single
umzubringen ,kill
zurückkehren ,to return
feld ,field
mexiko ,Mexico
erschaffen ,create
information ,information
hergekommen ,came here
beweg ,motion
stärke ,strength
vermögen ,capital
verbracht ,spent
gewisse ,certain
waschen ,to wash
howard ,Howard
staat ,Country
geister ,ghost
behaupten ,claim
schrei ,Scream
würdet ,be
vögel ,birds
warnen ,to warn
albert ,Albert
chancen ,opportunities
treibt ,driving
nannte ,named
vermute ,suspect
mitternacht ,midnight
jones ,Jones
freundinnen ,girlfriend
lecker ,yummy
klinik ,clinic
dicht ,dense
befinden ,are located
ließen ,lose
bürger ,citizens
verursacht ,caused
hammer ,hammer
klang ,sound
internet ,Internet
aufregend ,exciting
grenzen ,border
politik ,politics
superman ,Superman
zurecht ,right
besitz ,possession
cops ,Cops
eingesperrt ,locked up
irren ,muddle
kommando ,command
schlug ,struck
krankenwagen ,ambulance
love ,Love
öffne ,open
karen ,karen
richten ,judge
mademoiselle ,Mademoiselle
erfunden ,invented
schnee ,snow
fühl ,feel
behalte ,keep
beschützt ,protect
punkte ,Points
entfernen ,remove
abgehauen ,escape
geträumt ,dreamed
stefan ,Stefan
dämonen ,demon
tränen ,tears
erfolgreich ,successfully
volle ,full
wilson ,Wilson
caroline ,Caroline
höher ,higher
happy ,Happy
brille ,glasses
musstest ,Mustard
heimat ,homeland
terry ,terry
liebsten ,favorite
bye ,bye
leiter ,ladder
sean ,sean
kauf ,purchase
spinnst ,spinning
werk ,plant
cent ,cent
schlacht ,battle
beziehungen ,Relationships
abgemacht ,precautionary
schreie ,scream
hmm ,hmm
bestätigen ,confirm
erschreckt ,frightened
offizier ,officer
that ,that
sara ,Sara
affäre ,affair
empfangen ,receive
zweck ,purpose
kämpfe ,fight
ergeben ,result
china ,China
fange ,catch
häuser ,Houses
verliere ,to lose
gedanke ,thought
tausende ,thousands
heutzutage ,these days
gefühlt ,felt
schnitt ,cut
carlos ,careless
harold ,Harold
lebend ,live
real ,real
holz ,wood
kaiser ,Emperor
spielte ,play
begonnen ,began
ziehst ,pull
gelandet ,landed
scheidung ,divorce
bart ,beard
beschlossen ,decided
klo ,loo
riechen ,smell
vergisst ,forgets
begeistert ,enthusiastic
ei ,egg
durchs ,through
geil ,hot
nieder ,low
erkläre ,explain
schreckliche ,terrible
beeindruckt ,impressed
vince ,vince
aufgegeben ,given up
aufgrund ,because of
momentan ,at the moment
solch ,such
meistens ,usually
stress ,stress
sterne ,Stars
heilen ,heal
soviel ,so much
kannten ,knew
stattdessen ,instead of this
aye ,aye
dinger ,dinger
stimmung ,mood
bulle ,bull
aufgefallen ,noticed
kämpft ,struggling
geräusch ,noise
künstler ,Artist
wachsen ,grow
verurteilt ,sentenced
himmels ,sky
tyler ,tyler
urteil ,verdict
schweine ,pig
nettes ,cute
house ,house
verlust ,loss
verließ ,left
wirf ,throw
wenige ,few
willie ,Willie
schulter ,shoulder
kalifornien ,California
lernt ,learns
beigebracht ,taught
normale ,normal
anbieten ,to offer
verwenden ,use
gratuliere ,congratulate
fluch ,curse
rick ,rick
übers ,over
grün ,green
unterricht ,classes
dachtest ,thought
verarschen ,fool
gewöhnt ,used
anklage ,accusation
tollen ,great
lippen ,lips
fett ,fat
lege ,laying
feigling ,coward
achten ,"respect, think highly of"
gary ,Gary
erfährt ,experienced
gewohnt ,used
jessica ,Jessica
äußerst ,extremely
einladen ,invite
käse ,cheese
aufwachen ,wake up
verfügung ,disposal
uniform ,uniform
zusehen ,watch
gesundheit ,bless you
abenteuer ,adventure
hosen ,pants
kurze ,short
scheck ,check
täglich ,Every day
fresse ,face
übernehme ,take over
wiederholen ,repeat
bestellen ,order
freiwillig ,voluntarily
cole ,Cole
universum ,universe
zeuge ,witness
west ,west
marshall ,Marshall
fähig ,able to
revier ,revier
reifen ,tires
mum ,mum
führe ,lead
durchgemacht ,through
tests ,Testing
führte ,led
schenken ,give
schädel ,skull
realität ,reality
April ,April
albern ,silly
brav ,well-behaved
schwerer ,heavier
jagd ,hunt
versagt ,feigned
truck ,truck
steckst ,pocket
geschenke ,gifts
sicherlich ,surely
öffentlichkeit ,Publicity
merkt ,noticed
verbrecher ,criminal
maske ,mask
verstärkung ,reinforcement
liefern ,deliver
jo ,jo
starke ,strength
grunde ,reasons
gordon ,Gordon
würd ,would
verschwand ,disappear
schulde ,school
russen ,russia
führer ,leader
gemerkt ,noticed
ciao ,Ciao
loslassen ,let go
berichten ,to report
verabschieden ,saying goodbye
antrag ,application
schieß ,shoot
abby ,Abby
benehmen ,behavior
verdacht ,suspicion
hübsches ,pretty
schreibtisch ,writing desk
e ,e
vampir ,vampire
rory ,rory
probe ,sample
schaff ,shark
verzeih ,forgive
patient ,patient
geküsst ,kissed
ertönt ,sound
nahmen ,take
zahlt ,pay
vorbereiten ,prepare
verbrannt ,burnt
verdammtes ,damn
frankie ,Frankie
informiert ,informed
einziges ,only
zucker ,sugar
stinkt ,smells bad
schnappt ,snap
schreib ,write
standen ,stood
klamotten ,threads
heil ,Salvation
besitzer ,owner
marcus ,marcus
tess ,tess
drum ,drum
tasse ,Cup
hinweis ,Note
verteidigung ,defense
lügst ,laughing
lies ,lies
magen ,stomach
enterprise ,Enterprise
michelle ,michelle
beeilt ,hastily
tunnel ,tunnel
einst ,once
behandlung ,treatment
serie ,series
applaus ,applause
markt ,market
korrekt ,correctly
besessen ,obsessed
bewahren ,maintain
nr. ,No.
pack ,pack
gekämpft ,fought
black ,black
angreifen ,attack
tiefer ,deeper
huh ,hoo
truppen ,troops
kommandant ,commander
osten ,east
elf ,eleven
beeindruckend ,impressive
besitzt ,owned
ho ,ho
heut ,today
clever ,clever
verrückten ,crazy
freien ,free
hass ,hate
antworte ,answer
posten ,Post
schneiden ,cut
sammeln ,collect
gesteckt ,putty
wissenschaft ,science
ursache ,root cause
gewiss ,certainly
bereich ,area
catherine ,catherine
meinetwegen ,because of me
l.a. ,L.A.
senator ,senator
ausziehen ,move out
verzweifelt ,desperate
jess ,jess
anteil ,proportion of
stets ,always
ritter ,Knight
viertel ,quarter
roman ,novel
pünktlich ,in time
erfüllen ,fulfill
kauft ,buys
molly ,molly
basis ,Base
eva ,Eva
schock ,shock
empfang ,reception
wiederhole ,repeat
wünscht ,wishes
besondere ,special
titel ,title
stil ,style
fingerabdrücke ,fingerprints
einfluss ,influence
anweisungen ,instructions
zahle ,pay
shield ,shield
opfern ,sacrifice
blaue ,blueness
sparen ,save
weiteres ,additional
gehörst ,belonging
farm ,farm
erstaunlich ,amazing
schwachsinn ,nonsense
miete ,rent
verwandelt ,transformed
daneben ,Besides
klaus ,Klaus
bereiten ,prepare
wüste ,desert
prüfen ,check
gabe ,habitation
hundert ,hundred
erscheinen ,appear
laß ,let
besiegen ,defeat
verpiss ,piss
umständen ,circumstances
angelegenheit ,matter
landes ,country
dienstag ,Tuesday
folgendes ,the following
fürchten ,to fear
mordes ,murder
nennst ,call
angestellt ,employed
training ,training
aufgetaucht ,popped up
rausfinden ,find out
ächzt ,groaned
rauskommen ,come out
planet ,planet
suppe ,Soup
erwischen ,catch
sitz ,Seat
johnson ,Johnson
vorteil ,advantage
for ,for
rosa ,pink
tour ,trip
amerikanische ,American
schönste ,most beautiful
rufst ,call
berührt ,touched
französisch ,French
gouverneur ,governor
angeles ,Angeles
kaufe ,buy
stern ,star
gedächtnis ,memory
wirklichkeit ,reality
bestraft ,fined
kreis ,circle
reine ,pure
edward ,Edward
schlimmes ,bad
bestehen ,exist
jeannie ,Jeannie
erscheint ,appearance
staatsanwalt ,prosecutor
ewigkeit ,eternity
störung ,disturbance
hässlich ,ugly
lauft ,runs
angezogen ,dressed
señor ,Señor
half ,helped
sollt ,false
martha ,Martha
tiger ,tiger
zigarette ,Cigarette
mutig ,brave
ausruhen ,relax
andrew ,Andrew
linken ,left
hauptmann ,captain
umstände ,circumstances
not ,emergency
unglück ,bad luck
eng ,closely
white ,white
lucas ,lucas
üben ,practice
wissenschaftler ,scientist
gelöst ,solved
reaktion ,reaction
morde ,murder
dusche ,shower
mitarbeiter ,Employee
your ,your
bedroht ,threatened
gehöre ,belonging
befreit ,freed
stöhnen ,moan
reagiert ,reacted
identität ,identity
rund ,around
texas ,Texas
fieber ,fever
hirn ,brain
leiten ,conduct
donnerstag ,Thursday
leonard ,Leonard
unheimlich ,scary
mulder ,mulder
jahrhundert ,century
irgend ,any
diener ,servant
bruce ,bruce
extrem ,extreme
ausweis ,ID card
sicht ,view
sport ,Sports
juden ,Jews
studiert ,educated
angelogen ,liberated
schaue ,look
little ,Little
sally ,sally
text ,text
earl ,Earl
nebenan ,next door
todd ,todd
lektion ,lesson
mäuse ,mice
staub ,dust
sophie ,sophie
kugeln ,bullet
dutzend ,dozen
ratte ,rat
mitleid ,pity
testen ,testing
auftritt ,appearance
gegner ,opponent
joseph ,Joseph
verdienst ,merit
langsamer ,slower
wunde ,wound
linie ,line
bedrohung ,threat
bauer ,Farmer
kurzem ,short
fische ,fishes
einkaufen ,shop
kreuz ,cross
afrika ,Africa
begangen ,committed
el ,elastic
nachsehen ,check
junior ,junior
bäume ,trees
leidenschaft ,passion
geliebte ,Lover
bereuen ,regret
spieler ,player
berge ,mountains
verwendet ,used
steuern ,steer
gekümmert ,carved
voran ,Ahead
wieviel ,how much
barney ,Barney
graf ,count
verabredung ,appointment
verlasse ,leave
überfallen ,overrun
donna ,donna
umdrehen ,turn around
damon ,demon
kilo ,kilo
diego ,Diego
negativ ,negative
schild ,sign
tanzt ,dance
verbrennen ,burn
gefreut ,pleased
penner ,Jerk
blauen ,blue
jay ,jay
stücke ,portions
angela ,Angela
kühlschrank ,refrigerator
identifizieren ,identify
lehrerin ,Teacher
francisco ,Francisco
kameras ,cameras
zentrale ,headquarters
jäger ,Hunter
josh ,josh
wayne ,Wayne
wenden ,turn around
we ,WE
holst ,fetch
suchte ,sought
start ,begin
füßen ,feet
unglücklich ,unhappy
frohe ,happy
sand ,sand
pfarrer ,pastor
plus ,plus
nancy ,Nancy
brachten ,brought
zauber ,Magic
berühren ,touch
rückkehr ,return
hafen ,Harbor
indianer ,Indian
miller ,miller
verschwenden ,waste
untersucht ,investigated
königs ,King's
jean ,jean
lese ,reading
stahl ,stole
hättet ,report
affen ,monkey
worten ,words
kindheit ,childhood
gewollt ,intelligent
op ,op
vermeiden ,avoid
fabrik ,factory
aussagen ,statement
wunderbare ,wonderful
grandpa ,grandpa
miststück ,bitch
verrückter ,crazy
lane ,lane
jungfrau ,Virgo
einfache ,simple
nate ,nate
laufe ,run
reingelegt ,set
seltsame ,strange
heiratet ,marry
angenehm ,enjoyable
daheim ,home
planen ,to plan
klauen ,NAB
geruch ,odor
marty ,marty
klingen ,sound
tina ,Tina
nächster ,nearest
hörten ,hear
jackie ,Jackie
trafen ,trace
ungern ,reluctant
abgelehnt ,declined
erstens ,first
abmachung ,agreement
appetit ,appetite
miami ,Miami
zeigte ,show
fan ,fan
hohen ,high
